names,Event,Depth,Lat,Lon,Julian,Cruise,diatom,phaeocystis,dinoflagellate
HH49E2053Mjune131120181dr.txt,205,3,77.00004,30.00013,179,Summer_2018,NA,NA,NA
HH50E20230Mjune141120182dr.txt,202,30,77.30027,29.99962,179,Summer_2018,NA,NA,NA
HH50E2025Mjune11120182dr.txt,202,5,77.30027,29.99962,179,Summer_2018,NA,NA,NA
JR77E540Mjune301020181dr.txt,5,40,78.01317,9.47313,163,Summer_2018,NA,NA,NA
JR77E515Mjune151020181dr.txt,5,15,78.01317,9.47313,163,Summer_2018,NA,NA,NA
JR77E55Mjune51120181dr.txt,5,5,78.01317,9.47313,163,Summer_2018,NA,NA,NA
JR77E560Mjune121120181dr.txt,5,60,78.01317,9.47313,163,Summer_2018,NA,NA,NA
JR78CE12105Mjune51120181dr.txt,12,105,80.06438,10.79241,164,Summer_2018,NA,1,NA
JR78CE1240Mjune151120181dr.txt,12,40,80.06438,10.79241,164,Summer_2018,NA,1,NA
JR78CE125Mjune71120181dr.txt,12,5,80.06438,10.79241,164,Summer_2018,NA,1,NA
JR80E4727Mjune151120181dr.txt,47,27,81.91604,18.46036,166,Summer_2018,1,1,NA
JR80E4750Mjune151120181dr.txt,47,50,81.91604,18.46036,166,Summer_2018,1,1,NA
JR80E475Mjune71120181dr.txt,47,5,81.91604,18.46036,166,Summer_2018,1,1,NA
JR85E8510Mjune121120181dr.txt,85,10,82.59166,30.14443,169,Summer_2018,1,NA,NA
JR85E8520Mjune141120181dr.txt,85,20,82.59166,30.14443,169,Summer_2018,1,NA,NA
JR85E852Mjune11120182dr.txt,85,2,82.59166,30.14443,169,Summer_2018,1,NA,NA
JR89E11522Mjune311020182dr.txt,115,22,81.45836,31.07706,171,Summer_2018,NA,NA,NA
JR89E1152Mjune71120181dr.txt,115,2,81.45836,31.07706,171,Summer_2018,NA,NA,NA
JR89E11575Mjune11120181dr.txt,115,75,81.45836,31.07706,171,Summer_2018,NA,NA,NA
JR93E1401p5Mjune121020182dr.txt,140,1.5,80.85011,29.29974,175,Summer_2018,NA,NA,NA
